id_2019,id_2020,name_2019,name_2020,change,population,areal,land,poplandratio,countyid_2019,county_2019,countyid_2020,county_2020
1145,1145,Bokn,Bokn,null,840,47,45,19,11,ROGALAND,11,ROGALAND
1438,4648,Bremanger,Bremanger,null,3705,833,787,5,14,SOGN OG FJORDANE,46,VESTLAND
1813,1813,Brønnøy,Brønnøy,null,7916,1046,1000,8,18,NORDLAND,18,NORDLAND
0938,4220,Bygland,Bygland,null,1192,1312,1150,1,9,AUST-AGDER,42,AGDER
0941,4222,Bykle,Bykle,null,953,1467,1254,1,9,AUST-AGDER,42,AGDER
2028,5443,Båtsfjord,Båtsfjord,null,2270,1435,1416,2,20,FINNMARK,54,TROMS OG FINNMARK
0219,3024,Bærum,Bærum,null,126841,192,189,672,2,AKERSHUS,30,VIKEN
1867,1867,Bø (Nordland),Bø (Nordland),null,2616,247,235,11,18,NORDLAND,18,NORDLAND
0821,3817,Bø (Telemark),Midt-Telemark,14,6630,263,258,26,8,TELEMARK,38,VESTFOLD OG TELEMARK
1219,4613,Bømlo,Bømlo,null,11960,247,235,51,12,HORDALAND,46,VESTLAND
2025,5441,Deatnu - Tana,Deatnu - Tana,null,2900,4051,3832,1,20,FINNMARK,54,TROMS OG FINNMARK
1850,1806,Divtasvuodna - Tysfjord,Hamarøy,44,1925,1464,1358,1,18,NORDLAND,18,NORDLAND
0511,3431,Dovre,Dovre,null,2615,1364,1349,2,5,OPPLAND,34,INNLANDET
0602,3005,Drammen,Drammen,11,68933,138,135,511,6,BUSKERUD,30,VIKEN
0817,3815,Drangedal,Drangedal,null,4080,1063,995,4,8,TELEMARK,38,VESTFOLD OG TELEMARK
1926,5420,Dyrøy,Dyrøy,null,1129,289,277,4,19,TROMS,54,TROMS OG FINNMARK
1827,1827,Dønna,Dønna,null,1391,192,186,7,18,NORDLAND,18,NORDLAND
1443,4649,Eid,Stad,27,6151,469,420,15,14,SOGN OG FJORDANE,46,VESTLAND
1551,1579,Eide,Hustadvika,32,3433,152,146,24,15,MØRE OG ROMSDAL,15,MØRE OG ROMSDAL
1232,4619,Eidfjord,Eidfjord,null,906,1491,1382,1,12,HORDALAND,46,VESTLAND
0125,3014,Eidsberg,Indre Østfold,6,11424,236,229,50,1,ØSTFOLD,30,VIKEN
0420,3416,Eidskog,Eidskog,null,6114,640,603,10,4,HEDMARK,34,INNLANDET
0237,3035,Eidsvoll,Eidsvoll,null,24919,456,386,65,2,AKERSHUS,30,VIKEN
1101,1101,Eigersund,Eigersund,null,14830,432,387,38,11,ROGALAND,11,ROGALAND
0427,3420,Elverum,Elverum,null,21191,1229,1209,18,4,HEDMARK,34,INNLANDET
0229,3028,Enebakk,Enebakk,null,11026,233,195,56,2,AKERSHUS,30,VIKEN
0434,3425,Engerdal,Engerdal,null,1286,2197,1916,1,4,HEDMARK,34,INNLANDET
1211,4611,Etne,Etne,null,4077,735,691,6,12,HORDALAND,46,VESTLAND
0541,3450,Etnedal,Etnedal,null,1305,459,443,3,5,OPPLAND,34,INNLANDET
1853,1853,Evenes,Evenes,null,1387,253,242,6,18,NORDLAND,18,NORDLAND
0937,4219,Evje og Hornnes,Evje og Hornnes,null,3638,587,549,7,9,AUST-AGDER,42,AGDER
1003,4206,Farsund,Farsund,null,9695,263,252,38,10,VEST-AGDER,42,AGDER
