Verdensdel,Land/region,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
America,El Salvador,12949.836,10870.269,23119.785,13298.9288036,8035.81,7291.114,13598.35,3105.521,4013.504,3389.01,3233.11293,6808.11843,11774.31211,3599.092637,13281.316624,14796.313578,9556.026048,7164.709002,169885.1291626
America,Panama,,,,,,,132.956,,,,,14294.034,38814.227,9404.113,11678.008,848.50092,,,75171.83892
America,Costa Rica,2006.88415,5058.874,3675.45,4045.1688669,,,33421.0,573.576,1894.558,2629.085,4362.438,3114.307,13452.11,-761.884,38911.140365,4514.483084,1047.872283,166.112323,118111.1750719
America,Den dominikanske republikk,2698.239,1852.685,3750.731,3419.857,3283.924,4298.557,3118.306,5074.0,2344.0,1930.63215,1798.2,1600.398,1613.676,1539.028076,1676.914251,1590.176685,1391.11031,370.967991,43351.402463000006
America,Belize,,1811.837,284.161,851.0315145,520.623,281.4,,,,,,,,,994.839,1019.031954,,,5762.9234685
America,Guatemala,102801.38823,73386.5366,93235.34,94108.4940368,89895.38,87426.27618,134968.6073,95831.78035,87142.744,64723.26462,48411.37572,56683.19331,61973.474155,51077.762743,72819.153052,79868.27733,76969.641983,59471.259956,1430793.9495658001
America,Bolivia,27012.018,24623.873,28943.856,26259.6613421,26823.512,22763.96,23811.195,23335.63704,29691.37975,36582.25605,40192.06716,35381.59749,32608.729398,31709.627343,45510.831665,31698.91774,28991.517071,25220.851723,541161.4877721
America,Karibia regional,,,50.0,810.0,,,,,,,,,1110.68732,1728.24144,,,,150.0,3848.92876
America,Chile,4652.372,5739.407,6838.108,3726.9959052,4512.371,1648.8,101641.079,91271.563,135079.485,199713.463,83397.65972,79006.966,-66669.551164,188161.784754,56253.443518,1225.135998,,-21.6919,896177.3908311999
America,Jamaica,2832.361,3123.512,2804.762,4550.52923,3535.804,2232.115,2511.249,2227.457,1360.8,777.6,736.66864,695.83252,,,,,,,27388.690389999992
America,Cuba,8936.90386,7138.06077,15473.796,9542.0263084,12191.378,30134.336,8942.081,6252.258,7049.269,14486.32,4981.4684,6552.48932,8495.217147,27138.275778,20964.438048,20928.573786,27848.994763,20187.68051,257243.5666904
America,Haiti,9370.176,15295.133,18707.257,13322.447,14413.692,46883.151,32071.269,51339.977,45099.18083,59081.734,26875.18221,403626.6,135188.94587,129337.773988,83613.210773,89284.229711,66944.271855,87282.438395,1327736.669632
Asia,Armenia,18319.405,18551.27,21876.26,26228.3433923,23738.573,22502.849,33367.39,33477.727,27296.299,18912.05103,19604.88123,21567.52489,17224.59097,18874.79187,17331.17827,9835.80492,4533.0,2246.862,355488.8015723001
Asia,Bhutan,5201.6806,12676.1388,5970.576,8794.67,9129.641,5909.74918,5205.96039,8478.84147,7190.00395,5430.84808,11420.17351,11356.50014,15356.998694,5670.11553,7813.9137,33972.229947,28798.952708,2912.869015,191289.862714
Asia,Vietnam,55599.98047,54292.46526,51167.69,63409.7021539,81654.271,81233.09151,99538.75017,97582.08234,174670.4397,176578.61658,99829.88526,121949.31571,241646.484639,270026.960384,108070.784344,124778.706987,77484.032527,85196.287568,2064709.5466029
Asia,Mongolia,13183.819,11979.126,51000.484,21080.3366675,17465.426,8213.815,11159.974,6936.182,5709.179,6890.741,8009.403,10528.61172,8942.233514,4382.801776,3860.914995,3343.675076,4219.05989,3865.471354,200771.25399250002
Asia,Bangladesh,266476.5452,161648.79271,185066.708,132634.4518556,85992.49,161324.5148,212004.60644,137316.0045,233360.13938,132432.25248,91861.4789,102279.66931,95146.33638,96348.395697,73702.01267,58136.475355,34287.327777,22718.546584,2282736.7480386
Asia,Pakistan,36253.42241,58658.3833,49571.071,82112.3975004,70490.12,54604.18246,532544.29421,119747.18258,180561.83881,170284.12726,292392.70802,502448.32145,183994.362345,176663.497618,155099.383354,148080.853556,106071.680511,108421.024526,3027998.8509104
Asia,Sri Lanka,109301.10917,128117.00791,136701.997,171396.3497706,199195.487,204402.06241,427718.46105,239230.57148,257979.95943,174439.05319,221381.11275,175057.90878,144528.573262,115016.42996,85845.033515,65268.96321,42613.941348,67978.374115,2966172.3953505997
Asia,Aserbajdsjan,15573.473,19630.373,24343.856,28075.2778757,38220.678,38168.525,40994.785,36093.328,31128.469,22231.22529,25048.80634,20338.9454,18888.194183,17358.348481,11586.34476,3473.61696,7571.67611,6744.256,405470.17839970003
Asia,Georgia,17852.011,18068.64,27957.971,35450.185038,35561.448,32607.456,53915.636,47594.428,38224.821,74871.82294,69022.45757,60484.128,56683.47829,39124.27388,38524.84661,31443.90363,45644.04562,23467.32994,746498.882518
Asia,Laos,51121.10893,74760.22244,43280.329,45437.81574,28725.634,16823.1908,16352.86156,73203.257,17167.173,22033.9,19882.96471,15833.033,52861.37451,25559.983378,33243.052003,44922.20359,39092.790951,21909.676087,642210.570699
Asia,Sørøst-Asia regional,35.528,,,,,10397.509,13361.0,71030.192,43926.239,29775.032,40835.317,59171.533,32363.815,-17569.306687,10045.396154,9338.63519,23114.329866,20179.768032,346004.98755500006
Asia,Filippinene,19808.847,40203.38936,15022.237,7840.351,13231.926,13011.407,15380.632,29981.084,246485.0875,171133.93565,11463.7858,106357.79954,62378.260882,6571.753726,124100.548985,78114.467548,14011.352202,10373.797662,985470.662855
Asia,India,76780.28026,70672.69679,104306.097,67574.8746305,57439.705,88940.02006,184433.17206,84006.39238,175742.10041,199068.4497,100944.63547,144989.75523,164472.337495,215945.607269,202041.310673,149419.614709,137709.980773,148278.375346,2372765.4052555
Asia,Nepal,57670.12691,78398.84665,103319.822,104659.9634571,143134.667,155168.54959,161804.73334,262776.93249,238773.57247,239152.70799,284467.4526,285390.01172,276878.466541,236261.669129,190841.158738,264958.057679,492162.844822,258044.586777,3833864.1699030995
Asia,Kambodsja,49452.789,54089.891,50556.404,24903.9349984,17678.562,22286.963,23503.24235,20170.83516,22348.68337,60432.83343,19890.90704,28546.21856,50603.856784,17866.650837,150861.905525,49889.393,54682.454365,55272.447457,773037.9718764002
Asia,Afghanistan,55564.403,110546.87666,357075.964,493516.915734,486867.985,456434.387,386186.108,446971.19,553121.83916,736543.206,727842.0902,726172.50801,775474.416944,730363.887617,745408.529789,758744.277884,691213.626388,693947.844959,9931996.056345
Asia,Malaysia,1647.249,1701.943,4026.422,2420.409,9534.975,5819.997,2135.77,12798.781,631.8,2246.888,4316.28,4648.38,4714.456061,5084.150227,6646.551778,3744.703724,2706.879737,3874.664896,78700.300423
Asia,Myanmar,14925.029,25295.254,25519.235,30823.8507841,36124.044,47819.153,37700.39703,51632.58973,64320.39727,169144.4026,112221.04576,123734.0111,105231.668044,132752.814931,186584.110221,228483.528389,256444.334136,252062.973747,1900818.8387421002
Asia,Kasakhstan,8652.716,8400.662,8497.123,14091.3624245,10474.983,10189.995,15034.742,16879.395,14387.802,27838.44108,19213.61942,25714.67354,16431.61671,13791.688,10920.91388,3927.15,741.265,,225188.1480545
Asia,Thailand,3848.78,3366.1877,12907.424,12975.38058,-9787.698,14495.389,74628.52917,37850.05542,11326.135,4684.872,4397.66464,1867.54601,9431.16967,10073.645949,11371.86788,13389.545363,7606.591999,5019.805736,229452.892117
Asia,Turkmenistan,,904.025,343.01,1589.5992789,983.593,899.552,142.651,190.179,28.375,3344.0015,3923.6212,3400.0,3270.782,-6.29897,532.53354,-531.15124,,,19014.4723089
Asia,Kirgisistan,9581.748,2539.053,4539.3,10476.6608773,21741.826,20675.992,19854.398,14483.194,17201.1,19772.98015,21246.71304,38227.23021,18704.38,20187.6645,16436.03881,10275.664,10520.832,4007.463,280472.23758729995
Asia,Usbekistan,,1088.958,6941.836,20669.0662768,8012.424,6445.138,3423.613,2952.744,75.9,961.395,1783.83409,1520.0,1649.672,2522.088,922.912,3187.3662,1093.959,333.728,63584.63356679999
Asia,Tadsjikistan,4855.039,9824.07,7502.737,10859.3642102,13092.849,9903.608,12707.546,11159.659,18670.613,15471.947,19728.67377,19324.07503,29481.65024,28306.482049,15551.228998,13639.978183,10999.999999,5056.184529,256135.70500819996
Asia,Øst-Timor,,30909.252,49684.949,62111.72508,50233.98,58707.78942,58470.459,93120.90401,78777.73121,43748.27755,53412.42319,47246.43822,45807.241,44829.56776,32677.04615,28408.34548,23516.51003,12503.94806,814166.58716
Asia,Sentral-Asia regional,,,,,,,,,,32815.012,18804.49346,22159.99261,13712.865,20146.00974,32747.05352,15325.86344,21402.54175,6221.87545,183335.70696999997
Asia,Nord-Korea,30262.365,29275.0,31316.0,28553.6440384,31034.0,37882.781,33970.287,24663.639,27616.591,16619.789,29800.0,15000.0,20000.0,21000.0,6200.0,12000.0,14999.999999,9999.999999,420194.0960364
Asia,Maldivene,,90.17,166.528,11743.57614,975.084,996.24,16555.726,6263.798,,,72.422,207.591,325.986,155.452,37.361,38.3,19.15,9.575,37656.95913999999
Asia,Sør- og Sentral-Asia regional,,747.77221,3522.926,1974.1402,30961.219,2008.051,1298.64,1263.98,5918.804,5818.308,1667.222,12861.277,780.515999,,,4000.0,6000.0,13751.208,92574.063409
Asia,Kina,109689.09093,87086.86645,86810.79,97699.7162623,84548.403,99423.51347,88961.06345,92208.55812,98641.33383,139957.04111,136067.00768,136322.59614,131640.589246,141420.496752,124365.003747,125553.981045,92294.403353,87146.662079,1959837.1166642997
Asia,Indonesia,66940.78274,50986.1635,41562.712,48286.6603972,46488.833,49667.9296,290436.16139,65845.165,96121.93815,60831.06578,80915.31289,253493.44473,66762.049005,82560.084212,164466.19613,237942.199534,258717.094124,451364.206922,2413387.9991042
Asia,Asia regional,109255.14193,140194.064,111396.466,86088.06099,122966.455,128156.13175,486036.40815,146566.84491,197318.7756,140620.80333,140157.48826,115800.0377,120185.30779,155159.173916,182495.311304,142108.557605,164515.439933,121392.536873,2810413.005041001
Europe,Europa regional,862203.638,875035.868,481788.015,677903.377695,562611.221,490164.1007,454654.92549,435704.13982,111304.507,79050.43408,113486.68191,146349.89852,149567.094,210050.83338,211022.447133,155207.318784,72193.649828,121156.093102,6209454.243442
Europe,Bosnia-Hercegovina,246136.33019,270729.45934,151719.387,190312.51363,153075.468,114624.885,113975.305,121961.366,101815.2365,108514.7035,99486.66786,110440.86802,83358.42885,112449.511898,84113.066684,99646.40642,65511.69312,44448.70522,2272320.0022319993
Europe,Kosovo,,,,,,,,,,67608.584,132916.82094,146547.03511,106865.90408,85648.32236,63955.27163,57309.01771,98566.47464,19212.58954,778630.02001
Europe,Moldova,,5752.147,8779.786,8692.2458084,16096.083,8826.299,17789.594,17559.041,18660.762,28088.839,23175.86036,18142.4423,33767.08397,29013.274,33300.00136,55490.24571,45451.36161,44935.49819,413520.56430840003
Europe,Montenegro,,,,,,,,,24476.973,22746.09666,24537.02031,21200.26381,15991.11327,20431.611,13239.84323,7983.60967,1271.96179,4995.00053,156873.49327
Europe,Kroatia,29825.513,44140.225,162364.726,105336.0063943,100650.251,100270.565,99761.259,95853.788,40540.729,24117.27733,22583.47799,20938.01085,,,,,,,846381.8285643
Europe,Albania,49443.819,31187.078,27033.348,46632.5187598,42436.881,53882.007,41932.286,36426.433,34510.072,23306.335,6523.156,15144.731,15451.83,9039.60581,10104.385,8530.28,14555.587,4747.39794,470887.7505098001
Europe,Serbia,,,,,,,,,239013.224,198015.30028,124837.53324,122347.52783,111157.78694,89077.5258,63965.12662,68172.73589,60668.39531,12259.86474,1089515.02065
Europe,Makedonia,54494.66686,8468.345,56886.596,93098.817923,81682.178,84905.483,80803.174,79697.537,55169.917,34784.72929,43611.70895,45467.54393,39327.6175,28322.53519,24228.05594,28696.37119,19246.04923,15813.30996,874704.635963
Europe,Slovenia,,575.067,77.741,386.8750736,,,,,,,,,,,,,,,1039.6830736
Europe,Hviterussland,,,,,,,,1190.426,14729.319,18972.9078,16219.74057,13380.55958,20086.50612,20170.01,18111.96499,19152.07518,12338.118,3667.852,158019.47924
Europe,Tyrkia,31570.071,15409.101,26350.978,33405.0087827,51974.371,10486.573,7431.259,11807.298,2625.947,696.005,1020.0,796.90401,12154.83363,12721.41156,19207.19952,20289.42281,44389.368088,76306.347438,378642.0988387
